UDFString1,Street_address,CITY,state,zipcode,country,test,store_nbr
1356503,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1356806,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1357043,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1365912,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1365974,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1366146,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1366180,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1366339,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1366892,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1367102,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1367994,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1368447,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1368690,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1368883,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1370237,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1370394,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1370791,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1370889,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1371091,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1371447,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1371524,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1371570,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1371759,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1253389,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1253642,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1253678,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1254176,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1255651,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1255879,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1256371,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1256415,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
